Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6408969,WHS4_154,COUNTRY,HTI,AMR,Americas,YEAR,2012,,,,,,,,,67.3,67.3,,,DHS 2012.,2025-09-26T14:12:09Z,2007-2012,2007-01-01,2012-12-31
1969472,WHS4_154,COUNTRY,CIV,AFR,Africa,YEAR,2016,,,,,,,,,51.3,51.3,,,MICS 2016.,2025-09-26T14:12:09Z,2014-2016,2014-01-01,2016-12-31
6034826,WHS4_154,COUNTRY,FIN,EUR,Europe,YEAR,2015,,,,,,,,,98.1,98.1,,,National Institute for Health and Welfare (THL) [Finland]; 2023.,2025-09-26T14:12:09Z,2015,2015-01-01,2015-12-31
4455992,WHS4_154,COUNTRY,ITA,EUR,Europe,YEAR,2008,,,,,,,,,84.6,84.6,,,Direzione Generale del Sistema Informativo – Ufficio di Statistica [Italy]; 2011.,2025-09-26T14:12:09Z,2008,2008-01-01,2008-12-31
6535949,WHS4_154,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2001,,,,,,,,,38.3,38.3,,,"Ministry of Immigration and Population [Myanmar], UNFPA; 2004.",2025-09-26T14:12:09Z,1996-2001,1996-01-01,2001-12-31
53611,WHS4_154,COUNTRY,UGA,AFR,Africa,YEAR,2016,,,,,,,,,59.9,59.9,,,DHS 2016.,2025-09-26T14:12:09Z,2011-2016,2011-01-01,2016-12-31
1759894,WHS4_154,COUNTRY,BRA,AMR,Americas,YEAR,2010,,,,,,,,,90.24653737,90.24653737,,,"No change from UHC CC 2025 data. DATASUS, MS/SVS/DASIS [Brazil]. Período: 2010; 2012.",2025-09-26T14:12:09Z,2010,2010-01-01,2010-12-31
9181520,WHS4_154,COUNTRY,MEX,AMR,Americas,YEAR,2012,,,,,,,,,91,91,,,Instituto Nacional de Salud Pública [Mexico]; 2012.,2025-09-26T14:12:09Z,2007-2012,2007-01-01,2012-12-31
6688314,WHS4_154,COUNTRY,ZWE,AFR,Africa,YEAR,1999,,,,,,,,,64.3,64.3,,,DHS 1999.,2025-09-26T14:12:09Z,1994-1999,1994-01-01,1999-12-31
10012172,WHS4_154,COUNTRY,SRB,EUR,Europe,YEAR,2010,,,,,,,,,94.2,94.2,,,MICS 2010.,2025-09-26T14:12:09Z,2008-2010,2008-01-01,2010-12-31
2896276,WHS4_154,COUNTRY,CZE,EUR,Europe,YEAR,2010,,,,,,,,,94.8,94.8,,,3 or more visits. Ústav zdravotnických informací a statistiky ČR [Czech Republic]; 2011.,2025-09-26T14:12:09Z,2010,2010-01-01,2010-12-31
1360333,WHS4_154,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2023,,,,,,,,,78.6,78.6,,,MICS 2023.,2025-09-26T14:12:09Z,2021-2023,2021-01-01,2023-12-31
129819,WHS4_154,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,74.5,74.5,,,Ministry of Health [Oman]; 2017.,2025-09-26T14:12:09Z,2016,2016-01-01,2016-12-31
161631,WHS4_154,COUNTRY,GUY,AMR,Americas,YEAR,2009,,,,,,,,,95.7,95.7,,,WHO/PAHO; 2022.,2025-09-26T14:12:09Z,2009,2009-01-01,2009-12-31
6351884,WHS4_154,COUNTRY,ERI,AFR,Africa,YEAR,2010,,,,,,,,,57.4,57.4,,,"National Statistics Office (NSO), Eritrea, Fafo Institute for Applied International Studies (Fafo AIS); 2013.",2025-09-26T14:12:09Z,2005-2010,2005-01-01,2010-12-31
6612206,WHS4_154,COUNTRY,EST,EUR,Europe,YEAR,2020,,,,,,,,,96.3,96.3,,,5+ visits  Estonian Medical Birth Registry (EMBR) 2023,2025-09-26T14:12:09Z,2020,2020-01-01,2020-12-31
5432810,WHS4_154,COUNTRY,VNM,WPR,Western Pacific,YEAR,2002,,,,,,,,,29.3,29.3,,,DHS 2002.,2025-09-26T14:12:09Z,1999-2002,1999-01-01,2002-12-31
4038121,WHS4_154,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2022,,,,,,,,,34.3,34.3,,,SVRS 2023,2025-09-26T14:12:09Z,2022,2022-01-01,2022-12-31
5838752,WHS4_154,COUNTRY,DOM,AMR,Americas,YEAR,1996,,,,,,,,,87.6,87.6,,,DHS 1996.,2025-09-26T14:12:09Z,1991-1996,1991-01-01,1996-12-31
9264051,WHS4_154,COUNTRY,EST,EUR,Europe,YEAR,2004,,,,,,,,,96,96,,,National Institute for Health Development [Estonia]; 2012.,2025-09-26T14:12:09Z,2004,2004-01-01,2004-12-31
117196,WHS4_154,COUNTRY,LBR,AFR,Africa,YEAR,2000,,,,,,,,,73.3,73.3,,,"Ministry of Planning and Economic Affairs [Liberia], University of Liberia, UNFPA; 2000.",2025-09-26T14:12:09Z,1996-2000,1996-01-01,2000-12-31
6637589,WHS4_154,COUNTRY,COL,AMR,Americas,YEAR,2019,,,,,,,,,83.9,83.9,,,"Ministerio de Salud y Protección Social Indicadores Básicos, 2021",2025-09-26T14:12:09Z,2019,2019-01-01,2019-12-31
9948847,WHS4_154,COUNTRY,BOL,AMR,Americas,YEAR,2017,,,,,,,,,85.3,85.3,,,WHO/PAHO; 2018.,2025-09-26T14:12:09Z,2017,2017-01-01,2017-12-31
5103060,WHS4_154,COUNTRY,MRT,AFR,Africa,YEAR,2015,,,,,,,,,63,63,,,MICS 2015.,2025-09-26T14:12:09Z,2013-2015,2013-01-01,2015-12-31
2185469,WHS4_154,COUNTRY,ECU,AMR,Americas,YEAR,2004,,,,,,,,,57.5,57.5,,,"5 or more visits. CEPAR, Centro de Estudios de Población y Desarrollo Social, CDC. ENDEMAIN 2004; 2005.",2025-09-26T14:12:09Z,1999-2004,1999-01-01,2004-12-31
8781307,WHS4_154,COUNTRY,UKR,EUR,Europe,YEAR,2007,,,,,,,,,74.8,74.8,,,6 or more visits. DHS 2007.,2025-09-26T14:12:09Z,2002-2007,2002-01-01,2007-12-31
903585,WHS4_154,COUNTRY,CUB,AMR,Americas,YEAR,2019,,,,,,,,,79.3,79.3,,,MICS 2019.,2025-09-26T14:12:09Z,2017-2019,2017-01-01,2019-12-31
2743998,WHS4_154,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2011,,,,,,,,,49.6,49.6,,,MICS 2011.,2025-09-26T14:12:09Z,2009-2011,2009-01-01,2011-12-31
7817827,WHS4_154,COUNTRY,PER,AMR,Americas,YEAR,2013,,,,,,,,,95.1,95.1,,,DHS 2013 (Continuous).,2025-09-26T14:12:09Z,2008-2013,2008-01-01,2013-12-31
2991275,WHS4_154,COUNTRY,AGO,AFR,Africa,YEAR,2024,,,,,,,,,51,51,,,DHS 2023-2024 (Key indicators).,2025-09-26T14:12:09Z,2021-2024,2021-01-01,2024-12-31
