Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4432,MDG_0000000025,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2023,,,,,,,,,96,96,,,"obstetrician, general practitioner, midwife, nurse SUSENAS 2023 as part of Welfare Statistics 2023",2025-04-07T06:46:44Z,2023,2023-01-01,2023-12-31
11027,MDG_0000000025,REGION,EMR,,,YEAR,2020,,,,,,,,,79,79,,,,2024-04-26T13:59:03Z,2020,2020-01-01,2020-12-31
12007,MDG_0000000025,COUNTRY,KIR,WPR,Western Pacific,YEAR,2005,,,,,,,,,63,63,,,"Trained personnel UNFPA, Achieving the Millennium Development Goals in the Pacific Islands, 2004-2005. UNICEF CRING: Kiribati; 2005.",2025-04-07T06:46:44Z,2005,2005-01-01,2005-12-31
17845,MDG_0000000025,COUNTRY,PLW,WPR,Western Pacific,YEAR,2014,,,,,,,,,100,100,,, 2014 Statistical Yearbook. Koror: Ministry of Finance [Palau]; 2015.,2025-04-07T06:46:44Z,2014,2014-01-01,2014-12-31
18321,MDG_0000000025,COUNTRY,ITA,EUR,Europe,YEAR,2003,,,,,,,,,100,100,,, Certificato di assistenza al parto (CeDAP). Analisi dell’evento nascita - Anno 2003. Roma: Direzione Generale del Sistema Informativo – Ufficio di Statistica; 2005 (in Italian). ,2025-04-07T06:46:44Z,2003,2003-01-01,2003-12-31
20190,MDG_0000000025,COUNTRY,TKM,EUR,Europe,YEAR,2021,,,,,,,,,100,100,,," Ministry of Health and Medical Industry, 2023",2025-04-07T06:46:44Z,2021,2021-01-01,2021-12-31
30089,MDG_0000000025,COUNTRY,WSM,WPR,Western Pacific,YEAR,2014,,,,,,,,,83,83,,,"Doctor, Nurse/Midwife, and Enrolled Nurse (0.6) Census-Surveys and Demography Division, Samoa Bureau of Statistics, Ministry of Health [Samoa], United Nations Population Fund (UNFPA), United Nations Children’s Fund (UNICEF), Department of Foreign Affairs and Trade [Australia]. Samoa Demographic and Health Survey 2014. Apia: Samoa Bureau of Statistics; 2015. ",2025-04-07T06:46:44Z,2014,2014-01-01,2014-12-31
41931,MDG_0000000025,COUNTRY,BGR,EUR,Europe,YEAR,2003,,,,,,,,,98,98,,, National Statistical Institute of Bulgaria; 2023.,2025-04-07T06:46:44Z,2003,2003-01-01,2003-12-31
43373,MDG_0000000025,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2012,,,,,,,,,70,70,,, Shabila NP. Rates and trends in cesarean sections between 2008 and 2012 in Iraq. BMC Pregnancy Childbirth. 2017;17:22. doi: 10.1186/s12884-016-1211-6. ,2025-04-07T06:46:44Z,2012,2012-01-01,2012-12-31
48749,MDG_0000000025,COUNTRY,BEN,AFR,Africa,YEAR,2001,,,,,,,,,66,66,,," Institut National de la Statistique et de l’Analyse Économique (INSAE), ORC Macro. Enquête Démographique et de Santé au Bénin 2001. Calverton, Maryland, USA: Institut National de la Statistique et de l’Analyse Économique, ORC Macro; 2002 (in French).",2025-04-07T06:46:44Z,2001,2001-01-01,2001-12-31
