term,estimate,std_error,p_value
inst10,-0.06006547148216951,0.017858301275607134,0.0029395521116663925
an10_c,0.01627416319437569,0.10271530056513536,0.8756242163734642
abr1,-6.62712018231572e-4,0.0017678060782193845,0.7115102796440409
inst10:an10_c,-0.016522779680532246,0.009039218768481204,0.0818084962562668
